source,source_value,row_count,row_share,scheme,version,mapping_kind,codes,match_type,confidence,notes,source_field,query_text,branch_codes,branch_titles,suggested_kind,suggested_codes,candidate_codes,candidate_titles,candidate_scores,retrieval_score,suggestion_source,review_status
fsq,[Dining and Drinking > Restaurant > Asian Restaurant > Filipino Restaurant],281,0.009896456997957315,psic,rev5,,,exact,,,category,restaurants and mobile food service activities,561,Restaurants and mobile food service activities,,,561|5610|56109|56101|56103,"Restaurants and mobile food service activities || Restaurants and mobile food service activities || Restaurants and mobile food service activities, n.e.c. || Full-service restaurants activities || Activities of buffet restaurants",1.000000|1.000000|0.975297|0.355586|0.327040,1.000000,semantic:fsq:restaurant;retrieval:candidates,REVIEW_CANDIDATES
fsq,[Landmarks and Outdoors > Structure],277,0.009755582165246178,psic,rev5,,,exact,,,category,Landmarks and Outdoors Structure,,,NOT_ACTIVITY,,,,,,rule:high_precision_non_activity,REVIEW_REQUIRED
overture,professional_service,269,0.009473832499823906,psic,rev5,,,exact,,,category,professional scientific and technical activities,N,"Professional, Scientific, and Technical Activities",,,N|74|749|7499|74999,"Professional, Scientific, and Technical Activities || Other Professional, Scientific and Technical Activities || Other professional, scientific and technical activities n.e.c. || All other professional, scientific and technical activities n.e.c. || All other specialized professional, scientific and technical activities, n.e.c.",0.948424|0.920848|0.910728|0.854669|0.772121,0.948424,semantic:overture:professional_service;retrieval:candidates,REVIEW_CANDIDATES
fsq,"['Dining and Drinking > Cafe, Coffee, and Tea House > Café']",262,0.009227301542579417,psic,rev5,,,exact,,,category,beverage serving activities cafes coffee shops,563,Beverage serving activities,,,563|5630|56309|56302|56303,"Beverage serving activities || Beverage serving activities || Beverage serving activities, n.e.c. || Operation of cafés or coffee shops || Activities of tea shops",0.700880|0.700880|0.669606|0.453103|0.299470,0.700880,semantic:fsq:beverage;retrieval:candidates,REVIEW_CANDIDATES
overture,historic_site,262,0.009227301542579417,psic,rev5,,,exact,,,category,historic site,,,NOT_ACTIVITY,,,,,,rule:high_precision_non_activity,REVIEW_REQUIRED
fsq,[Health and Medicine > Hospital],233,0.008205959005423681,psic,rev5,,,exact,,,category,hospital activities,861,Hospital activities,SUBTREE,861,861|8611|8612|86129|86111,"Hospital activities || Public hospital activities || Private hospital activities || Private hospital activities, n.e.c. || Public general hospital activities",1.000000|0.759486|0.757450|0.723632|0.642941,1.000000,semantic:fsq:hospital;retrieval:strong_separated_hit,REVIEW_REQUIRED
overture,cafe,230,0.00810030288089033,psic,rev5,,,exact,,,category,operation of cafes or coffee shops,563,Beverage serving activities,SUBTREE,56302,56302|56303|56301|56304|5630,"Operation of cafés or coffee shops || Activities of tea shops || Operation of nightclubs, bars and cocktail lounges || Activities of beverage stands, kiosks and counters || Beverage serving activities",0.784830|0.296045|0.107429|0.008501|0.004505,0.784830,semantic:overture:cafe;retrieval:strong_separated_hit,REVIEW_REQUIRED
overture,school,230,0.00810030288089033,psic,rev5,,,exact,,,category,education activities primary secondary tertiary education,85,Education,,,8540|854|85402|85401|8533,Tertiary education || Tertiary education || Private tertiary education || Public tertiary education || Post-secondary non-tertiary education,0.782177|0.782177|0.620384|0.617599|0.590907,0.782177,semantic:overture:school;retrieval:candidates,REVIEW_CANDIDATES
fsq,[Community and Government > Spiritual Center > Church],204,0.007184616468267944,psic,rev5,,,exact,,,category,activities of religious organizations,9491,Activities of religious organizations,,,94910|9491,Activities of religious organizations || Activities of religious organizations,1.000000|1.000000,1.000000,semantic:fsq:religion;retrieval:candidates,REVIEW_CANDIDATES
overture,elementary_school,203,0.00714939776009016,psic,rev5,,,exact,,,category,primary education,852,Primary education,,,852|8520|85209|85204|85203,"Primary education || Primary education || Primary education, n.e.c. || Private primary or elementary education for children with special needs || Public primary or elementary education for children with special needs",1.000000|1.000000|0.936329|0.332294|0.327684,1.000000,semantic:overture:elementary_school;retrieval:candidates,REVIEW_CANDIDATES
