source,source_value,row_count,row_share,scheme,version,mapping_kind,codes,match_type,confidence,notes,source_field,query_text,suggested_kind,suggested_codes,candidate_codes,candidate_titles,candidate_scores,retrieval_score,suggestion_source,review_status
overture,hotel,327,0.01151651757413538,psic,rev5,,,exact,,,category,hotel,,,55101|55103|55104|5510|551,Operation of hotels || Operation of resort hotels || Operation of apartment hotels || Hotels and similar accommodation activities || Hotels and similar accommodation activities,0.245265|0.187598|0.169243|0.158995|0.158995,0.245265,retrieval:candidates,REVIEW_CANDIDATES
overture,coffee_shop,312,0.01098823695146862,psic,rev5,,,exact,,,category,coffee shop,,,01271|56302|10760|1076|01634,Growing of coffee plants || Operation of cafés or coffee shops || Processing of coffee and tea || Processing of coffee and tea || Preparation of coffee and cocoa beans,0.382535|0.351059|0.349836|0.349836|0.287473,0.382535,retrieval:candidates,REVIEW_CANDIDATES
overture,lodging,303,0.010671268577868563,psic,rev5,,,exact,,,category,lodging,,,0220|022|02|8292|82920,Logging || Logging || Forestry and Logging || Packaging activities || Packaging activities,0.186245|0.186245|0.137457|0.112497|0.112497,0.186245,retrieval:candidates,REVIEW_CANDIDATES
osm,office=government,295,0.01038951891244629,psic,rev5,,,exact,,,category,government office,,,84113|84112|64121|82|8210,"Public administration, local government || Public administration, regional government || Universal banking, including specialized government banking || Office Administrative, Office Support and Other Business Support Activities || Office administrative and support activities",0.386558|0.380305|0.297452|0.256585|0.225471,0.386558,retrieval:candidates,REVIEW_CANDIDATES
osm,amenity=fast_food,286,0.010072550538846235,psic,rev5,,,exact,,,category,fast food amenity,,,56102|4721|10|56290|5629,"Fast-food restaurants operations, including quick service restaurant || Retail sale of food || Manufacture of Food Products || Other food service activities || Other food service activities",0.332073|0.218606|0.205109|0.194838|0.194838,0.332073,retrieval:candidates,REVIEW_CANDIDATES
fsq,[Dining and Drinking > Restaurant > Asian Restaurant > Filipino Restaurant],281,0.009896456997957315,psic,rev5,,,exact,,,category,Dining and Drinking Restaurant Asian Restaurant Filipino Restaurant,,,56102|56103|5610|561|56109,"Fast-food restaurants operations, including quick service restaurant || Activities of buffet restaurants || Restaurants and mobile food service activities || Restaurants and mobile food service activities || Restaurants and mobile food service activities, n.e.c.",0.386067|0.210480|0.207840|0.207840|0.196599,0.386067,retrieval:candidates,REVIEW_CANDIDATES
fsq,[Landmarks and Outdoors > Structure],277,0.009755582165246178,psic,rev5,,,exact,,,category,Landmarks and Outdoors Structure,NOT_ACTIVITY,,,,,,rule:high_precision_non_activity,REVIEW_REQUIRED
overture,professional_service,269,0.009473832499823906,psic,rev5,,,exact,,,category,professional service,,,85591|9412|94120|N|74,"Professional and licensure review service activities || Activities of professional membership organizations || Activities of professional membership organizations || Professional, Scientific, and Technical Activities || Other Professional, Scientific and Technical Activities",0.451800|0.398872|0.398872|0.373688|0.362888,0.451800,retrieval:candidates,REVIEW_CANDIDATES
fsq,"['Dining and Drinking > Cafe, Coffee, and Tea House > Café']",262,0.009227301542579417,psic,rev5,,,exact,,,category,"Dining and Drinking Cafe, Coffee, and Tea House Café",,,10760|1076|01634|11054|56302,Processing of coffee and tea || Processing of coffee and tea || Preparation of coffee and cocoa beans || Manufacture of bottled drinking water || Operation of cafés or coffee shops,0.533739|0.533739|0.238044|0.227283|0.212799,0.533739,retrieval:candidates,REVIEW_CANDIDATES
overture,historic_site,262,0.009227301542579417,psic,rev5,,,exact,,,category,historic site,NOT_ACTIVITY,,,,,,rule:high_precision_non_activity,REVIEW_REQUIRED
